,country,date,accumulated_recovered,increase_of_recovered
464,Belize,2020-03-06,0,0.0
465,Belize,2020-03-07,0,0.0
466,Belize,2020-03-08,0,0.0
467,Belize,2020-03-09,0,0.0
468,Belize,2020-03-10,0,0.0
469,Belize,2020-03-11,0,0.0
470,Belize,2020-03-12,0,0.0
471,Belize,2020-03-13,0,0.0
472,Belize,2020-03-14,0,0.0
473,Belize,2020-03-15,0,0.0
474,Belize,2020-03-16,0,0.0
475,Belize,2020-03-17,0,0.0
476,Belize,2020-03-18,0,0.0
477,Belize,2020-03-19,0,0.0
478,Belize,2020-03-20,0,0.0
479,Belize,2020-03-21,0,0.0
480,Belize,2020-03-22,0,0.0
481,Belize,2020-03-23,0,0.0
482,Belize,2020-03-24,0,0.0
483,Belize,2020-03-25,0,0.0
484,Belize,2020-03-26,0,0.0
485,Belize,2020-03-27,0,0.0
486,Benin,2020-03-01,0,0.0
487,Benin,2020-03-02,0,0.0
488,Benin,2020-03-03,0,0.0
489,Benin,2020-03-04,0,0.0
490,Benin,2020-03-05,0,0.0
491,Benin,2020-03-06,0,0.0
492,Benin,2020-03-07,0,0.0
493,Benin,2020-03-08,0,0.0
494,Benin,2020-03-09,0,0.0
495,Benin,2020-03-10,0,0.0
496,Benin,2020-03-11,0,0.0
497,Benin,2020-03-12,0,0.0
498,Benin,2020-03-13,0,0.0
499,Benin,2020-03-14,0,0.0
500,Benin,2020-03-15,0,0.0
501,Benin,2020-03-16,0,0.0
502,Benin,2020-03-17,0,0.0
503,Benin,2020-03-18,0,0.0
504,Benin,2020-03-19,0,0.0
505,Benin,2020-03-20,0,0.0
506,Benin,2020-03-21,0,0.0
507,Benin,2020-03-22,0,0.0
508,Benin,2020-03-23,0,0.0
509,Benin,2020-03-24,0,0.0
510,Benin,2020-03-25,0,0.0
511,Benin,2020-03-26,0,0.0
512,Benin,2020-03-27,0,0.0
513,Bhutan,2020-03-01,0,0.0
514,Bhutan,2020-03-02,0,0.0
515,Bhutan,2020-03-03,0,0.0
516,Bhutan,2020-03-04,0,0.0
517,Bhutan,2020-03-05,0,0.0
518,Bhutan,2020-03-06,0,0.0
519,Bhutan,2020-03-07,0,0.0
520,Bhutan,2020-03-08,0,0.0
521,Bhutan,2020-03-09,0,0.0
522,Bhutan,2020-03-10,0,0.0
523,Bhutan,2020-03-11,0,0.0
524,Bhutan,2020-03-12,0,0.0
525,Bhutan,2020-03-13,0,0.0
526,Bhutan,2020-03-14,0,0.0
527,Bhutan,2020-03-15,0,0.0
528,Bhutan,2020-03-16,0,0.0
529,Bhutan,2020-03-17,0,0.0
530,Bhutan,2020-03-18,0,0.0
531,Bhutan,2020-03-19,0,0.0
532,Bhutan,2020-03-20,0,0.0
533,Bhutan,2020-03-21,0,0.0
534,Bhutan,2020-03-22,0,0.0
535,Bhutan,2020-03-23,0,0.0
536,Bhutan,2020-03-24,0,0.0
537,Bhutan,2020-03-25,0,0.0
538,Bhutan,2020-03-26,0,0.0
539,Bhutan,2020-03-27,0,0.0
540,Bolivia,2020-03-01,0,0.0
541,Bolivia,2020-03-02,0,0.0
542,Bolivia,2020-03-03,0,0.0
543,Bolivia,2020-03-04,0,0.0
544,Bolivia,2020-03-05,0,0.0
545,Bolivia,2020-03-06,0,0.0
546,Bolivia,2020-03-07,0,0.0
547,Bolivia,2020-03-08,0,0.0
548,Bolivia,2020-03-09,0,0.0
549,Bolivia,2020-03-10,0,0.0
550,Bolivia,2020-03-11,0,0.0
551,Bolivia,2020-03-12,0,0.0
552,Bolivia,2020-03-13,0,0.0
553,Bolivia,2020-03-14,0,0.0
554,Bolivia,2020-03-15,0,0.0
555,Bolivia,2020-03-16,0,0.0
556,Bolivia,2020-03-17,0,0.0
557,Bolivia,2020-03-18,0,0.0
558,Bolivia,2020-03-19,0,0.0
559,Bolivia,2020-03-20,0,0.0
560,Bolivia,2020-03-21,0,0.0
561,Bolivia,2020-03-22,0,0.0
562,Bolivia,2020-03-23,0,0.0
563,Bolivia,2020-03-24,0,0.0
564,Bolivia,2020-03-25,0,0.0
565,Bolivia,2020-03-26,0,0.0
566,Bolivia,2020-03-27,0,0.0
567,Bosnia and Herzegovina,2020-03-01,0,0.0
568,Bosnia and Herzegovina,2020-03-02,0,0.0
569,Bosnia and Herzegovina,2020-03-03,0,0.0
570,Bosnia and Herzegovina,2020-03-04,0,0.0
571,Bosnia and Herzegovina,2020-03-05,0,0.0
572,Bosnia and Herzegovina,2020-03-06,0,0.0
573,Bosnia and Herzegovina,2020-03-07,0,0.0
574,Bosnia and Herzegovina,2020-03-08,0,0.0
575,Bosnia and Herzegovina,2020-03-09,0,0.0
576,Bosnia and Herzegovina,2020-03-10,0,0.0
577,Bosnia and Herzegovina,2020-03-11,0,0.0
578,Bosnia and Herzegovina,2020-03-12,0,0.0
579,Bosnia and Herzegovina,2020-03-13,0,0.0
580,Bosnia and Herzegovina,2020-03-14,0,0.0
581,Bosnia and Herzegovina,2020-03-15,0,0.0
582,Bosnia and Herzegovina,2020-03-16,0,0.0
583,Bosnia and Herzegovina,2020-03-17,2,2.0
584,Bosnia and Herzegovina,2020-03-18,2,0.0
585,Bosnia and Herzegovina,2020-03-19,2,0.0
586,Bosnia and Herzegovina,2020-03-20,2,0.0
587,Bosnia and Herzegovina,2020-03-21,2,0.0
588,Bosnia and Herzegovina,2020-03-22,2,0.0
589,Bosnia and Herzegovina,2020-03-23,2,0.0
590,Bosnia and Herzegovina,2020-03-24,2,0.0
591,Bosnia and Herzegovina,2020-03-25,2,0.0
592,Bosnia and Herzegovina,2020-03-26,2,0.0
593,Bosnia and Herzegovina,2020-03-27,5,3.0
594,Brazil,2020-03-01,0,0.0
595,Brazil,2020-03-02,0,0.0
596,Brazil,2020-03-03,0,0.0
597,Brazil,2020-03-04,0,0.0
598,Brazil,2020-03-05,0,0.0
599,Brazil,2020-03-06,0,0.0
600,Brazil,2020-03-07,0,0.0
601,Brazil,2020-03-08,0,0.0
602,Brazil,2020-03-09,0,0.0
603,Brazil,2020-03-10,0,0.0
604,Brazil,2020-03-11,0,0.0
605,Brazil,2020-03-12,0,0.0
606,Brazil,2020-03-13,0,0.0
607,Brazil,2020-03-14,0,0.0
608,Brazil,2020-03-15,0,0.0
609,Brazil,2020-03-16,1,1.0
610,Brazil,2020-03-17,2,1.0
611,Brazil,2020-03-18,2,0.0
612,Brazil,2020-03-19,2,0.0
613,Brazil,2020-03-20,2,0.0
614,Brazil,2020-03-21,2,0.0
615,Brazil,2020-03-22,2,0.0
616,Brazil,2020-03-23,2,0.0
617,Brazil,2020-03-24,2,0.0
618,Brazil,2020-03-25,2,0.0
619,Brazil,2020-03-26,6,4.0
620,Brazil,2020-03-27,6,0.0
621,Brunei,2020-03-01,0,0.0
622,Brunei,2020-03-02,0,0.0
623,Brunei,2020-03-03,0,0.0
624,Brunei,2020-03-04,0,0.0
625,Brunei,2020-03-05,0,0.0
626,Brunei,2020-03-06,0,0.0
627,Brunei,2020-03-07,0,0.0
628,Brunei,2020-03-08,0,0.0
629,Brunei,2020-03-09,0,0.0
630,Brunei,2020-03-10,0,0.0
631,Brunei,2020-03-11,0,0.0
632,Brunei,2020-03-12,0,0.0
633,Brunei,2020-03-13,0,0.0
634,Brunei,2020-03-14,0,0.0
635,Brunei,2020-03-15,0,0.0
636,Brunei,2020-03-16,0,0.0
637,Brunei,2020-03-17,0,0.0
638,Brunei,2020-03-18,0,0.0
639,Brunei,2020-03-19,0,0.0
640,Brunei,2020-03-20,1,1.0
641,Brunei,2020-03-21,2,1.0
642,Brunei,2020-03-22,2,0.0
643,Brunei,2020-03-23,2,0.0
644,Brunei,2020-03-24,2,0.0
645,Brunei,2020-03-25,2,0.0
646,Brunei,2020-03-26,5,3.0
647,Brunei,2020-03-27,11,6.0
648,Bulgaria,2020-03-01,0,0.0
649,Bulgaria,2020-03-02,0,0.0
650,Bulgaria,2020-03-03,0,0.0
651,Bulgaria,2020-03-04,0,0.0
652,Bulgaria,2020-03-05,0,0.0
653,Bulgaria,2020-03-06,0,0.0
654,Bulgaria,2020-03-07,0,0.0
655,Bulgaria,2020-03-08,0,0.0
656,Bulgaria,2020-03-09,0,0.0
657,Bulgaria,2020-03-10,0,0.0
658,Bulgaria,2020-03-11,0,0.0
659,Bulgaria,2020-03-12,0,0.0
660,Bulgaria,2020-03-13,0,0.0
661,Bulgaria,2020-03-14,0,0.0
662,Bulgaria,2020-03-15,0,0.0
663,Bulgaria,2020-03-16,0,0.0
664,Bulgaria,2020-03-17,0,0.0
665,Bulgaria,2020-03-18,0,0.0
666,Bulgaria,2020-03-19,0,0.0
